ISO_WEEKSTARTDATE,COVID,INFLUENZA,RSV,SONSTIGE,AUFNAHMEN,MA14,STD14,Z_Score,Outbreak_Z
2024-11-18,334,12,3,1149,1444,1552.5714285714287,339.17087009482316,-0.3201083528814694,False
2024-11-25,344,23,11,1101,1419,1572.5714285714287,320.65790884600807,-0.47892605900196095,False
2024-12-02,328,38,16,1268,1588,1599.357142857143,303.5154557318824,-0.03741866400100393,False
2024-12-09,307,88,25,1198,1560,1643.4285714285713,238.7682217889647,-0.3494123749110536,False
2024-12-16,282,136,38,1334,1723,1673.2142857142858,218.594524025801,0.2277537120730341,False
2024-12-23,259,228,38,1398,1840,1677.2142857142858,221.27364839159688,0.7356760078255039,False
2024-12-30,213,313,72,1502,2016,1689.5,235.56013440961843,1.386057962729148,False
2025-01-06,190,368,53,1517,2034,1689.9285714285713,236.22787703848687,1.4565233912480686,False
2025-01-13,134,442,63,1402,1970,1685.9285714285713,230.50428472096965,1.232391098132094,False
2025-01-20,120,588,94,1514,2229,1711.2857142857142,269.08289502605885,1.9239955243686102,False
2025-01-27,118,649,106,1430,2228,1744.857142857143,302.59209841299344,1.5966803484849714,False
2025-02-03,72,466,124,1283,1884,1771.7142857142858,296.57880742054,0.37860329691897504,False
2025-02-10,41,318,72,787,1195,1753.0714285714287,324.8105872388064,-1.7181442061835404,False
